issue,year,n,prop,prop_lib,prop_cons
abany,1984,1420,0.38591549295774646,0.5151515151515151,0.3225152129817444
abdefect,1984,1421,0.8022519352568613,0.8429003021148036,0.763265306122449
abhlth,1984,1431,0.8951781970649895,0.9395770392749244,0.8699186991869918
abnomore,1984,1420,0.4267605633802817,0.5562310030395137,0.3727087576374745
abpoor,1984,1414,0.4625176803394625,0.5823170731707317,0.3987730061349693
abrape,1984,1406,0.8036984352773826,0.8776758409785933,0.7448132780082988
absingle,1984,1420,0.4422535211267606,0.5787878787878787,0.3967611336032389
cappun,1984,1376,0.25218023255813954,0.3035143769968051,0.19467213114754098
colath,1984,1421,0.4736101337086559,0.6231003039513677,0.4306122448979592
colcom,1984,1388,0.4834293948126801,0.5913312693498453,0.448559670781893
colhomo,1984,1409,0.6132008516678495,0.7069486404833837,0.569672131147541
colmil,1984,1423,0.4244553759662684,0.5313432835820896,0.4065040650406504
colrac,1984,1418,0.4217207334273625,0.4939759036144578,0.4180327868852459
grass,1984,1406,0.2361308677098151,0.3507692307692308,0.16837782340862423
gunlaw,1984,1430,0.7230769230769231,0.7874251497005988,0.6359918200408998
helpblk,1984,960,0.284375,0.42920353982300885,0.1871345029239766
helppoor,1984,743,0.5558546433378196,0.7034883720930233,0.3807829181494662
helpsick,1984,903,0.6821705426356589,0.8035714285714286,0.5394321766561514
hitbeatr,1984,1404,0.14458689458689458,0.15853658536585366,0.13513513513513514
hitchild,1984,1410,0.5418439716312057,0.5562310030395137,0.5413223140495868
hitdrunk,1984,1427,0.9264190609670637,0.927710843373494,0.9226069246435845
hitmarch,1984,1439,0.9666435024322446,0.9670658682634731,0.9757575757575757
hitok,1984,1408,0.37855113636363635,0.36503067484662577,0.36344969199178645
hitrobbr,1984,1426,0.1753155680224404,0.18429003021148035,0.188911704312115
homosex,1984,1412,0.21742209631728046,0.38109756097560976,0.1598360655737705
libath,1984,1434,0.6534170153417015,0.7559523809523809,0.6178861788617886
libcom,1984,1418,0.6156558533145275,0.7317073170731707,0.5650406504065041
libhomo,1984,1425,0.6126315789473684,0.7311178247734139,0.5441767068273092
libmil,1984,1438,0.6043115438108484,0.7172619047619048,0.566
librac,1984,1423,0.6507378777231202,0.718562874251497,0.6341463414634146
polabuse,1984,1434,0.8772663877266388,0.8862275449101796,0.8647540983606558
polattak,1984,1448,0.0649171270718232,0.08333333333333333,0.05835010060362173
polescap,1984,1406,0.24324324324324326,0.2701863354037267,0.23395445134575568
